"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\Administrator\Documents\vertexai\Controller\exemplovalido.js", "JavaScript", 91, 7, 21, 119
"c:\Users\Administrator\Documents\vertexai\Controller\helloWord.js", "JavaScript", 4, 0, 1, 5
"c:\Users\Administrator\Documents\vertexai\Controller\webhookControllerReceived.js", "JavaScript", 57, 1, 16, 74
"c:\Users\Administrator\Documents\vertexai\Controller\webhookControllerSent.js", "JavaScript", 30, 3, 8, 41
"Total", "-", 182, 11, 46, 239
